formula helper 1,,,uncategorized,,"README                
the formula helpers work by                 
* matching strings in green        
* explicitly-NOT-matching strings in RED 
      which start with ""~""        

Note: use ""NA_HELPER"" instead of """"                
  because SEARCH("""",""hello"") returns 1                ",,,"""match course""",course,MMC,major,prof,minor,concentration,department,time,date,ge_area,term,number,club,tutoring,topics,rating,requirement,building,,course,MMC,prof,,,
formula helper 2,,,COURSE_LEVEL,,,,,"""match class""",class,major,subject,instructor,NA_HELPER,NA_HELPER,dept,NA_HELPER,weekday,ge-area,year,numeric,NA_HELPER,NA_HELPER,research interests,star,elective-type,location,,class,major,instructor,,,
formula helper 3,,,CLASS_LEVEL,,,,,"""but not course_level""",~course_level,NA_HELPER,NA_HELPER,staff,NA_HELPER,NA_HELPER,class_type,NA_HELPER,day,NA_HELPER,season,num-,NA_HELPER,NA_HELPER,interest,NA_HELPER,NA_HELPER,room,,~course_level,subject,staff,,,
formula helper 4,,,EXAM,,,,,"""but not class_level""",~class_level,minor,NA_HELPER,employee,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,gpa,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,~class_level,minor,employee,,,
formula helper 5,,,division-level,,,,,,NA_HELPER,concentration,NA_HELPER,faculty,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,nth,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,subject_matter,concentration,faculty,,,
formula helper 6,,,distinction,,,,,,NA_HELPER,NA_HELPER,NA_HELPER,teacher,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,num_,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,NA_HELPER,NA_HELPER,teacher,,,
formula helper 7,,,honor-name,,,,,,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,[N],NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,NA_HELPER,NA_HELPER,NA_HELPER,,,
formula helper 8,,,year-range,,,,,,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,NA_HELPER,NA_HELPER,NA_HELPER,,,
formula helper 9,,,subject-matter,,,,,,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,NA_HELPER,NA_HELPER,NA_HELPER,,,
formula helper 10,,,subject,,,,,,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,NA_HELPER,,NA_HELPER,NA_HELPER,NA_HELPER,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIQUE_TAGS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,303,236,154,229,82,14,60,8,9,30,72,53,132,1,8,5,12,11,1332,105,52,13,269,24,3
,id_group,group,,,,,q_format,a_format,tag0_get_COURSE,tag0_get_MMC,tag0_get_MAJOR,tag0_get_PROF,tag0_get_MINOR,tag0_get_CONCENTRATION,tag0_get_DEPT,tag0_get_TIME,tag0_get_DAY,tag_0_GE_AREA,tag_0_TERM,tag_0_NUMBER,tag_0_CLUB,tag_0_TUTORING,tag_0_TOPICS,tag_0_RATING,tag_0_REQUIREMENT,tag_0_BUILDING,tag0,tag1_get_COURSE,tag1_get_MMC,tag1_get_PROF,tag1,tag2,tag3
0,0,F2,,,,,What is [COURSE] about?,[COURSE] is about [COURSE_DESCRIPTION],[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
1,1,F2,,,,,What are the Mathematics/Statistics Support Elective options for [MAJOR],The available Mathematics/Statistics Support Elective options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
2,2,F2,,,,,What are the approved technical electives for [MAJOR],The available approved technical elective options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
3,3,F2,,,,,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
4,4,F2,,,,,Is taking the GRE required for acceptance into the 4+1 program for [MAJOR]?,"No, for [MAJOR] majors, students do not need to take the General Record Exam.",NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
5,5,F2,,,,,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
6,6,F2,,,,,What classes are availabe to satisfy the pre-requisite technical elective course for [MAJOR]?,The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
7,7,F2,,,,,Which courses will count as approved pre-requisite technical electives for [MAJOR],The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST],NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
8,8,F2,,,,,What are the prereqs for [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
9,9,F2,,,,,Which courses are required to be taken before [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
10,10,F2,,,,,What [MAJOR] electives are offered next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
11,11,F2,,,,,What are the electives being offered for [MAJOR] next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
12,12,F2,,,,,Which electives are offered for [MAJOR] for next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MAJOR],NA,NA,NA,,,
13,13,F2,,,,,What courses is [PROF] teaching this quarter?,"This quarter, [PROF] is teaching [COURSE_LIST].",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],NA,NA,NA,,,
14,14,F2,,,,,What courses is [PROF] teaching next quarter?,"Next quarter, [PROF] is teaching [COURSE_LIST].",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],NA,NA,NA,,,
15,15,F2,,,,,What courses are required for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,NA,NA,,,
16,16,F2,,,,,Which courses do I need to take for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[MINOR],NA,NA,NA,,,
17,17,F2,,,,,What courses have [COURSE] as a prereq?,The following courses have [COURSE] as a prereq: [COURSE_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE],NA,NA,NA,,,
18,18,F2,,,,,What is [PROF] schedule like this quarter?,"[PROF] will be teaching [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... this quarter",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],NA,NA,NA,,,
19,19,F2,,,,,What is [PROF] schedule like next quarter?,"[PROF] will be teach [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... next quarter",NA,NA,NA,[PROF],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[PROF],NA,NA,NA,,,
20,20,F2,,,,,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE_LEVEL],NA,[MMC],NA,[MAJOR],,
21,21,F2,,,,,Which [COURSE_LEVEL] hundred level courses will be offered for [MAJOR] this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[COURSE_LEVEL],NA,[MMC],NA,[MAJOR],,
