questionFormat,answerFormat
What is [COURSE] about?,[COURSE] is about [COURSE_DESCRIPTION]
What are the prereqs for [COURSE]?,The prereqs for [COURSE] are: [COURSE-PREREQS].
Which courses are required to be taken before [COURSE]?,The prereqs for [COURSE] are: [COURSE-PREREQS].
What courses have [COURSE] as a prereq?,The following courses have [COURSE] as a prereq: [COURSE].
Which majors require [COURSE]?,[MMC] all require [COURSE]
Which majors avoid [COURSE]?,[MMC] all do not require [COURSE]
What are the sections times for [COURSE] next quarter?,There are [NUM_SECTIONS] sections [COURSE] next quarter where the section tims are the following: [COURSE-SECTIONS] 
What are the sections times for [COURSE] this quarter?,There are [NUM_SECTIONS] sections for [COURSE] this quarter where the section tims are the following: [COURSE-SECTIONS] 
How many sections of [COURSE] are being offered this quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered this quarter.
How many sections of [COURSE] are being offered next quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered next quarter.
How many units does [COURSE] count towards?,[COURSE] counts as [COURSE-UNITS] units.
When is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER].
During what quarters is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER].
Is [COURSE] going to be offered next quarter?,Y/N: [COURSE] is (not) going to be offered next quarter.
Is tutuoring offered for [COURSE],Y/N: Tutoring is offered for [COURSE],    (if yes) Here is the tutoring schedule [TUTORING_SCHED]
Is there any information on [COURSE]?,Sure! Here's some more information on [COURSE]. [COURSE_DESCRIPTION]
Is [COURSE] currently offered?,Y/N: [COURSE] is currently (not) being taught this quarter.
Is [COURSE] a 4 unit class?,Y/N: [COURSE] is a [COURSE_UNITS] unit class
Does [COURSE] have any prerequisites?,Y, the prerequisites for [COURSE] are [COURSE_PREREQS] or N, this course doesn't have any prerequisites
What terms is [COURSE] typically offered?,[COURSE] is offered in [QUARTER].
What terms is [COURSE] typically offered?,[COURSE] is offered in [QUARTER].
Which terms is [COURSE] offered?,[COURSE] is offered in [QUARTER].
Which terms is [COURSE] offered?,[COURSE] is offered in [QUARTER].
Does [COURSE] require consent of instructor?,Yes, [COURSE] requires consent of instructor.
Does [COURSE] require consent of instructor?,Yes, [COURSE] requires consent of instructor.
Can I get into [COURSE] with instructor's consent?,Yes, [COURSE] can be taken with instructors consent.
Can I get into [COURSE] with instructor's consent?,Yes, [COURSE] can be taken with instructors consent.
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are [COURSE].
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are [COURSE].
What classes do I have to take before [COURSE]?,The prerequisites for [COURSE] are [COURSE].
What classes do I have to take before [COURSE]?,The prerequisites for [COURSE] are [COURSE].
What are the recommended prerequisites for [COURSE]?,The recommended prerequisites for [COURSE] are [COURSE].
What are the recommended prerequisites for [COURSE]?,The recommended prerequisites for [COURSE] are [COURSE].
What classes do I need in order to take [COURSE]?,The recursive prerequisites for [COURSE] are [COURSE].
Which classes have [COURSE] as a prerequisite?,[COURSE] have [COURSE] as a prerequisite.
Which classes have [COURSE] as a prerequisite?,[COURSE] have [COURSE] as a prerequisite.
Does [COURSE] have an upper divisional prerequisite?,Yes, [COURSE] has an upper divisional prerequisite.
Does [COURSE] have an upper divisional prerequisite?,Yes, [COURSE] has an upper divisional prerequisite.
Do I need a C- or better in [COURSE] to take any other classes?,Yes, a C- or better in [COURSE] is required to take [COURSE].
Do I need a C- or better in [COURSE] to take any other classes?,Yes, a C- or better in [COURSE] is required to take [COURSE].
When do most people take [COURSE]?,Most people take [COURSE] during [QUARTER] of their [CLASS_YEAR] year.
Is [COURSE] limited in total credit?,[COURSE] is limited in total credit.
Is [COURSE] limited in total credit?,[COURSE] is limited in total credit.
Can I select [COURSE] as a tech elective?,Yes, [COURSE] can be selected as a technical elective.
What is the structure of [COURSE]?,[COURSE] is a [COURSE_LABORLEC] class.
What is the structure of [COURSE]?,[COURSE] is a [COURSE_LABORLEC] class.
How many units is [COURSE]?,[COURSE] is worth [COURSE_UNITS] units.
How many units is [COURSE]?,[COURSE] is worth [COURSE_UNITS] units.
Is [COURSE] crosslisted in another department?,Yes, [COURSE] is crosslisted in another department.
Is [COURSE] crosslisted in another department?,Yes, [COURSE] is crosslisted in another department.
Is [COURSE] credit/no credit grading only?,Yes, [COURSE] is credit/no credit grading only.
Is [COURSE] credit/no credit grading only?,Yes, [COURSE] is credit/no credit grading only.
What is [COURSE] about?,[COURSE] covers the following topics:  [COURSE_DESCRIPTION].
What is [COURSE] about?,[COURSE] covers the following topics:  [COURSE_DESCRIPTION].
What topics are covered in [COURSE]?,[COURSE] covers the following topics:  [COURSE_DESCRIPTION].
What topics are covered in [COURSE]?,[COURSE] covers the following topics:  [COURSE_DESCRIPTION].
What is the course title for [COURSE]?,The course title for [COURSE] is [COURSE].
What is [COURSE] also called?,[COURSE] is also called [COURSE].
What is the name of [COURSE]?,The course title for [COURSE] is [COURSE].
What is the course code for [COURSE]?,The course code for [COURSE] is [COURSE].
Does [COURSE] include group work?,Yes. [COURSE] includes group work.
Is [COURSE] project based?,Yes. [COURSE] is project based.
What class should I take after [COURSE]?,After taking [COURSE] you could take [COURSE].
What classes build off [COURSE]?,The following classes build off of [COURSE]: [COURSE].
Which classes are most similar to [COURSE]?,The following classes are most similar to [COURSE]: [COURSE].
What classes should I take with [COURSE]?,The following classes go well with [COURSE]: [COURSE].
How many units do I need to take to be considered a [COURSE]?,In order to be considered a [CLASS_YEAR], you have to take [CLASS_YEAR_UNITS].
Can I take [COURSE] credit no credit?,Yes or No
Can I take [COURSE] pass-fail?,Yes or No
Is [COURSE] a required course?,Yes or No
Do I have to take [COURSE]?,Yes or No
How many hours a week is [COURSE]?,Number
How much time is spent in [COURSE] per week?,Number of hours
How many times is [COURSE] offered per year?,Number
In how many quarters is [COURSE] offered?,Number
When is [COURSE] offered?,[QUARTER]
When is [COURSE] available?,[QUARTER]
When can I take [COURSE]?,[QUARTER]
Does [COURSE] fulfill more than one requirement?,Yes or No
Can I use [COURSE] to fulfill more than one requirement?,
How many units is [COURSE]?,[COURSE_UNITS]
How many units does [COURSE] have?,[COURSE_UNITS]
How many units does [COURSE] fulfill?,[COURSE_UNITS] 
What does [COURSE] fulfill?,[MMC-REQUIREMENTS]
Does [COURSE] fulfill anything?,Yes or No
What requirements does [COURSE] fulfill?,[MMC-REQUIREMENTS]
How many lectures does [COURSE] have?,Number
How many times a week does [COURSE] meet?,Number
How many lectures make up [COURSE]?,Number
Does [COURSE] have a lab?,[COURSE_LABORLEC]
Do I have to take a lab with [COURSE]?,[COURSE_LABORLEC]
How many labs does [COURSE] have?,[COURSE_LABORLEC]
Does [COURSE] have any prerequisites?,Yes or No
How many prerequisites does [COURSE] have?,[COURSE_PREREQS]
Are there any prerequisites for [COURSE]?,Yes or No
What classes can I take instead of [COURSE]?,[MMC-REQUIREMENTS]
What are alternatives to [COURSE]?,[MMC-REQUIREMENTS]
Are there any alternatives for [COURSE]?,Yes or No
How many alternative does [COURSE] Have?,Number
Can I take something else instead of [COURSE]?,Yes or No
What courses substitute [COURSE]?,[Course(s)]or None
What STAT courses have [COURSE] as a prereq?,STAT courses requiring [COURSE]: [COURSE]
What courses do you need to take before taking [COURSE]?,STAT courses required before taking [COURSE]: [COURSE_PREREQS]
Does [COURSE] have any preqs?,Yes:/No. [COURSE]
Is [COURSE] being offered this quarter?,Yes/No
Can I take [COURSE] this quarter?,Yes/No
When's the next time I can take [COURSE]?,[COURSE] is expected to be offered during [QUARTER].
Is [COURSE] being offered soon?,[COURSE] is expected to be offered during [QUARTER].
Does [COURSE] help me get a stats minor?,Yes/No
Does [COURSE] contribute to my stats minor?,Yes/No
Has [COURSE] ever been offered by the stats department?,Yes/No records of [COURSE] being offered exist after [QUARTER].
When has [COURSE] been offered?,[QUARTER]
How many units is [COURSE]?,[COURSE_UNITS]
What is the name of [COURSE]?,[NAME]
What class is [COURSE]?,[NAME]
What is the description of [COURSE]?,[COURSE] ([NAME]): [DESCRIPTION]
What do you learn in [COURSE]?,[COURSE] ([NAME]): [DESCRIPTION]
What term is [COURSE] typically offered?,[QUARTER]
When is [COURSE] usually offered?,[QUARTER]
